,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_checkin_type,previous_delay_at_checkout_in_minutes,delay_status
1142,537570,299059,mobile,ended,-11.0,534705.0,60.0,mobile,74.0,Late
1143,560412,336349,connect,canceled,,568759.0,630.0,connect,1466.0,Late
1144,550072,412028,mobile,ended,172.0,549606.0,570.0,mobile,567.0,Late
1145,551063,365796,mobile,canceled,,547713.0,120.0,mobile,,On time
1146,551531,382633,mobile,ended,,544304.0,540.0,mobile,,On time
1147,552207,360551,connect,ended,68.0,550621.0,30.0,connect,108.0,Late
1148,552208,376311,connect,ended,33.0,549389.0,90.0,connect,64.0,Late
1149,552380,412021,mobile,canceled,,549184.0,150.0,mobile,7.0,Late
1150,566328,385008,connect,ended,23.0,565761.0,690.0,connect,1.0,Late
1151,567257,370416,connect,ended,,563114.0,0.0,connect,0.0,On time
1152,568524,314456,connect,ended,-10.0,559282.0,60.0,connect,-106.0,On time
1153,568826,279966,mobile,ended,-35.0,566857.0,90.0,mobile,51.0,Late
1154,569645,396034,connect,ended,-25.0,551522.0,330.0,connect,0.0,On time
1155,570777,368604,connect,ended,-12.0,527387.0,660.0,connect,-68.0,On time
1156,570917,411523,mobile,canceled,,568349.0,600.0,mobile,-4.0,On time
1157,571324,366164,connect,ended,-294.0,566181.0,450.0,connect,-24.0,On time
1158,571713,311923,connect,ended,-123.0,544337.0,600.0,connect,21.0,Late
1159,572052,402392,mobile,ended,,563280.0,60.0,mobile,,On time
1160,561213,405433,mobile,ended,124.0,564813.0,120.0,mobile,147.0,Late
1161,561599,275810,mobile,ended,11.0,554462.0,600.0,mobile,535.0,Late
1162,562325,347042,connect,ended,-73.0,564123.0,600.0,connect,78.0,Late
1163,563213,263232,mobile,ended,-71.0,565495.0,240.0,mobile,6.0,Late
1164,565109,312603,connect,ended,-956.0,566489.0,0.0,connect,31.0,Late
1165,542854,317024,connect,ended,116.0,542633.0,570.0,mobile,-27.0,On time
1166,542878,335276,connect,ended,79.0,553825.0,0.0,connect,-18.0,On time
1167,559197,400591,mobile,ended,6.0,553823.0,0.0,mobile,6.0,Late
1168,559663,173061,connect,ended,-21.0,552524.0,720.0,connect,-22.0,On time
1169,560213,412226,mobile,ended,,558523.0,480.0,mobile,,On time
1170,560214,362339,connect,canceled,,557201.0,30.0,connect,-390.0,On time
1171,560949,310636,connect,ended,26.0,564126.0,60.0,connect,-77.0,On time
1172,568943,337311,mobile,ended,70.0,554123.0,90.0,mobile,14.0,Late
1173,568987,391370,connect,ended,42.0,562708.0,0.0,connect,41.0,Late
1174,569303,272430,connect,ended,-44.0,562514.0,360.0,connect,-25.0,On time
1175,570337,365926,connect,ended,-37.0,543942.0,570.0,connect,37.0,Late
1176,570429,328506,mobile,ended,125.0,566331.0,480.0,mobile,-97.0,On time
1177,570491,338969,connect,canceled,,569446.0,60.0,connect,-143.0,On time
1178,570900,385523,connect,canceled,,565984.0,690.0,connect,124.0,Late
1179,572088,338940,mobile,ended,1003.0,571451.0,150.0,mobile,,On time
1180,572472,371625,mobile,ended,28.0,571018.0,180.0,mobile,25.0,Late
1181,554588,343339,mobile,ended,426.0,552212.0,420.0,mobile,14.0,Late
1182,555137,404130,connect,ended,26.0,552365.0,60.0,connect,12.0,Late
1183,555716,412909,mobile,ended,-102.0,562141.0,540.0,mobile,68.0,Late
1184,555942,250644,mobile,ended,9.0,554060.0,300.0,mobile,36.0,Late
1185,556975,320481,mobile,ended,17.0,559071.0,150.0,mobile,-61.0,On time
1186,556983,338969,connect,canceled,,552161.0,600.0,connect,-3.0,On time
1187,558830,353425,connect,canceled,,557068.0,0.0,connect,30.0,Late
1188,559072,383485,mobile,ended,-56.0,558533.0,720.0,mobile,64.0,Late
1189,559429,390318,mobile,ended,203.0,556092.0,690.0,mobile,122.0,Late
1190,560265,174243,mobile,ended,116.0,544959.0,60.0,mobile,-305.0,On time
1191,560564,409718,mobile,ended,-121.0,557338.0,570.0,mobile,2.0,Late
1192,560571,398152,connect,ended,-113.0,552192.0,690.0,connect,153.0,Late
1193,562379,337768,mobile,ended,,563752.0,690.0,mobile,,On time
1194,562555,380662,mobile,canceled,,567954.0,30.0,mobile,77.0,Late
1195,565959,324889,mobile,ended,-94.0,562206.0,720.0,mobile,-90.0,On time
1196,565968,338243,connect,ended,37.0,560465.0,720.0,connect,-50.0,On time
1197,568399,241021,connect,ended,-57.0,563552.0,60.0,connect,25.0,Late
1198,569173,274949,mobile,ended,-286.0,565577.0,0.0,mobile,-259.0,On time
1199,572870,349618,mobile,ended,-178.0,567694.0,210.0,mobile,-17.0,On time
1200,563348,225486,connect,ended,97.0,563757.0,0.0,connect,7.0,Late
1201,564441,310901,mobile,ended,50.0,561518.0,180.0,mobile,,On time
1202,524703,352436,mobile,ended,7.0,538643.0,60.0,mobile,13.0,Late
1203,526518,332564,mobile,ended,-4.0,534198.0,90.0,mobile,-67.0,On time
1204,527387,368604,connect,ended,-68.0,559396.0,690.0,connect,-29.0,On time
1205,536171,392368,connect,canceled,,515799.0,600.0,connect,-151.0,On time
